Code ,Name_fr,
14,"Ministère de l'Economie, des Finances et du Développement",
1,Présidence du Faso,
2,Secrétariat Général du Gouvernement et du Conseil des Ministres,
3,Primature,
5,Conseil Economique et Social,
9,Ministère Administration Territoriale Décentralisat  Cohésion Sociale,
10,Ministère de la Justice,
11,Ministère de la Défense Nationale et des Anciens Combattants,
12,Ministère des Affaires Etrangères et de la Coopération,
15,"Ministère de la Culture, des Arts et du Tourisme",
17,"Ministère de la Fonction Publique, du Travail et de la Protection Social",e
18,Ministère de la Communication et des Relations avec le Parlement,
20,Ministère des Sports et des Loisirs,
21,Ministère de la  Santé,
22,Ministère de la Femme Solidarité Nationale Famille Action Humanitaire,
23,Ministère Education Nationale Alphabétisation  Promotion Langues Nationa,les
24,"Ministère de l'Enseignement Supérieur, de la Recherche Scientifique et d",e l'Innovation
25,"Ministère du Commerce, de l'Industrie et de l'Artisanat",
26,Ministère des Mines et des Carrières,
27,Ministère de l'Agriculture et des Aménagements Hydro-agricoles,
28,Ministère des Ressources Animales et Halieutiques,
29,"Ministère de l'Environnement, de l'Economie verte et du Changement Clima",tique
30,Ministère des Infrastructures,
31,Ministère du Développement de l'Economie Numérique et des Postes,
32,"Ministère des Transports, de la Mobilité Urbaine et de la Sécurité Routi",ère
37,Ministère de la Jeunesse et de la Promotion de l'Entrepreneuriat des Jeu,nes
38,Ministère de l'Urbanisme et de l'Habitat,
42,Ministère de l'Eau et de l'Assainissement,
50,Grande Chancellerie,
51,Conseil Supérieur de la Communication,
52,Autorité Supérieure de Contrôle d'Etat et de Lutte contre la Corruption,
54,Conseil Constitutionnel,
55,Conseil d'Etat,
56,Cour des Comptes,
57,Cour de Cassation,
99,Dépenses Communes Interministérielles,
43,Ministère de l'Energie,
13,Ministère de la Sécurité,
58,Commission Electorale Nationale Indépendante,
59,Commission de l'Informatique et des Libertés,
60,Médiateur du Faso,
98,Transferts des Ressources aux Collectivités Territoriales,
4,Parlement,
8,Ministère de l'Intégration Africaine et des Burkinabè de l'Extérieur,
35,Ministère des Droits Humains et de la Promotion Civique,
