code ,name_en
01,Governor General
02,Parliament
03,Audit Office
04,Justice and Legal Affairs
05,Office of the Prime Minister Human Resource Management Department
06,National Security and Immigration
07,"International Trade, Industry, Commerce and Consumer Affairs"
08,Finance
09,Social Development and Gender Affairs
10,"Agriculture, Fisheries and Marine Resources"
11,Tourism and Transport
12,"Public Infrastructure, Posts and Urban Development"
13,Education
14,Health
15,"Youth, Sports and Culture"
16,Sustainable Development
17,Foreign Affairs and Aviation
18,Office of the Attorney General
19,Labour
20,"Human Settlement, Ecclesiastical Affairs and National Health Insurance"
21,Environment and Cooperatives
22,Entrepreneurship and Communications
