code,name_fr
110,ASSEMBLEE NATIONALE
120,PRESIDENCE DE LA REPUBLIQUE
130,PRIMATURE
134,AUTORITE INDEPENDANTE DE GESTION DES ELECTIONS
140,COUR CONSTITUTIONNELLE
150,COUR SUPREME
155,HAUTE COUR DE JUSTICE
160,"CONSEIL ECONOMIQUE SOCIAL, ENVIRONNEMENTAL ET CULTUREL"
170,HAUT CONSEIL DES COLLECTIVITES TERRITORIALES
180,MINISTERE DES AFFAIRES ETRANGERES ET DE LA COOPERATION INTERNATIONALE
185,MINISTERE DES MALIENS ETABLIS A L'EXTERIEUR ET DE L'INTEGRATION AFRICAINE
190,BUREAU DU VERIFICATEUR GENERAL
192,MEDIATEUR DE LA REPUBLIQUE
195,COMITE NATIONAL DE L'EGAL ACCES AUX MEDIAS D'ETAT
210,MINISTERE DE LA DEFENSE ET DES ANCIENS COMBATTANTS
220,MINISTERE DE LA JUSTICE ET DES DROITS DE L'HOMME
222,INSTITUT NATIONAL DE FORMATION JUDICIAIRE
223,OFFICE CENTRAL DE LUTTE CONTRE L'ENRICHISSEMENT ILLICITE
226,COMMISSION NATIONALE DES DROITS DE L'HOMME
230,MINISTERE DE LA SECURITE ET DE LA PROTECTION CIVILE
235,AGENCE NATIONALE DE LA SECURITE D'ETAT
310,MINISTERE DE L'ECONOMIE ET DES FINANCES
311,CELLULE NATIONALE DE TRAITEMENT DES INFORMATIONS FINANCIERES
312,AUTORITE DE REGULATION DES MARCHES PUBLICS/DELEGATIONS SERVICES PUBLICS (ARMDS)
320,"MINISTERE DU TRAVAIL, DE LA FONCTION PUBLIQUE, ET DU DIALOGUE SOCIAL"
323,"MINISTERE DE L'ENTREPRENARJAT NATIONAL, DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE"
328,MINISTERE DE LA REFONDATION DE L'ETAT
330,MINISTERE DE L'ADMINISTRATION TERRITORIALE ET DE LA DECENTRALISATION
334,AUTORITE DE PROTECTION DES DONNEES A CARACTERE PERSONNEL
340,"MINISTERE DES AFFAIRES RELIGIEUSES, DU CULTE ET DES COUTUMES"
341,"MINISTERE DE LA RECONCILIATION, DE LA PAIX ET DE LA COHESION NATIONALE"
346,AUTORITE DE GESTION DES REPARATIONS EN FAVEUR DES VICTIMES DES CRISES AU MALI
380,MINISTERE DE L'INDUSTRlE ET DU COMMERCE
410,MINISTERE DE L'EDUCATION NATIONALE
412,MlNISTERE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCTENTIFIQUE
510,"MINISTERE DE L'ARTISANAT, DE LA CULTURE, DE L'INDUSTRIE HOTELIERE ET DU TOURISME"
520,MINISTERE DE LA JEUNESSE ET DES SPORTS
610,MINISTERE DE LA SANTE ET DU DEVELOPPEMENT SOCIAL
614,HAUT CONSEIL NAT. LUTTE CONTRE LE SIDA
640,MINISTERE DE LA PROMOTION DE LA FEMME DE L'ENFANT & DE LA FAMILLE
700,MJNISTERE DES TRANSPORTS ET DES INFRASTRUCTURES
714,"MINISTERE DE L'ENVIRONNEMENT, DE L'ASSAINISSEMENT ET DU DEVELOPPEMENT DURABLE"
720,MINISTERE DE L'ENERGIE ET DE L'EAU
726,MINISTERE DES MINES
730,MIN. ECONOMIE NUMERIQUE ET COMMUNICATION
730,"MIN. DE LA COMMUNICATION, DE L'ECONOMIE NUMERIQUE ET DE LA MODERNISATION DE L'ADMINISTRATION"
732,HAUTE AUTORITE DE LA COMMUNICATION
740,"MIN. DE L'URBANISME, DE L'HABITAT, DES DOMAINES, DE L'AMENAGEMENT DU TERRITOIRE ET DE LA POPULATION"
820,MINISTERE DE L'AGRICULTURE
822,MINISTERE DE L'ELEVAGE ET DE LA PECHE
850,COMMISSARIAT A LA SECURITE ALIMENTAIRE
990,CHARGES COMMUNES
