code,name_es
0006,Vicepresidencia del Estado Plurinacional
0010,Minsterio de Relaciones Exteriores
0015,Ministerio de Gobierno
0016,Ministerio de Educacion
0020,Ministerio de Defensa
0025,Ministerio de la Presidencia
0030,Ministerio de Justicia
0035,Ministerio de Economia y Finanzas Publicas
0041,Ministerio de Desarrollo Productivo y Economia Plural
0046,Ministerio de Salud y Deportes
0047,Ministerio de Desarrollo Rural y Tierras
0050,Min de Transparencia Inst. Y Lucha Contra la Corrupcion
0051,Ministerio de Autonomias
0052,Ministerio de Culturas y Turismo
0066,Ministerio de Planificacion del Desarrollo
0070,"Ministerio de Trabajo, Empelo y Prevision Social"
0076,Ministerio de Mineria y Metalurgia
0078,Ministerio de Hidrocarburos y Energia
0081,"Ministerio de Obras Publicas, Servicios y Vivenda"
0086,Ministerio de Medio Ambiente y Agua
0087,Ministerio de Communicacion
0095,Consejo Supremo de Defensa Plurinacional
0099,Tesoro General de la Nacion
0660,Organo Judicial
0061,Tribunal Constitucional Plurinacional
0670,Orgando Electoral Plurinacional
0680,Contraloria General del Estado
0681,Ministerio Publico
0682,Defensoria del Pueblo
0683,Procuraduria General del Estado
0108,Orquesta Sinfonica Nacional
0109,Conservatorio Nacional de Musica
0111,Instituto Boliviano de la Ceguera
0112,Comite Nacional de la Persona con Discapacidad
0117,Direccion General de Aeronautica Civil
0119,Agencia para el Des. De la Soc. De la informacion en Bolivia
0121,Instituto Boliviano de Ciencia y Tecnologia Nuclear
0124,Academia Nacional de Ciencias
0129,Esuela de Gestion Publica Plurtinacional
0132,Servicio de Desarrollo de la Empresas Pub. Productivas
0133,Loteria Nacional de Beneficencia y Salubridad
0134,Consejo Nacional de Vivienda Policial
0137,Comite Ejecutivo de la Universidad Boliviana
0149,Consejo Nacional del Cine
0150,Proyecto Sucre Ciudad Universitaria
0152,Servicio Nacional de Defensa Publica
0153,Observatorio Plurinacional de la Calidad Educativa
0154,Museo Nacional de Historia Natural
0163,Agencia Nacional de Hidrocarburos
0169,Autoridad General de Impugnacion Tributaria
0170,Escuela Militar de Ingenieria
0171,Centro de Investigacion Agricola Tropical
0188,Complejo Indus de los Rec. Evaporiticos del Salar de Uyuni
0190,Autoridad General Jurisdiccional Administrativa Minera
0192,Servicio al Mejoramiento de la Navegacion Amazonica
0197,Direccion Estrategica de Reivindicacion Maritima
0200,Registro Unico para la Administracion Tributaria Municipal
0201,Agencia para el Des. De las Macroreg. Y Zonas Fronterizas
0203,Autoridad de Supervision del Sistema Financiero
0206,Instituto Nacional de Estadistica
0209,Administracion de Servicios Portuarios - Bolivia
0210,Unidad de Analisis de Politicas Sociales y Economicas
0212,Instituto Nacional de Reforma Agraria
0213,Servicio Nacional de Meteorologia e Hidrologia
0222,Instituto Nacional de Innovacion Agropecuaria y Forestal
0223,Fondo Nacional de Desarrollo Forestal
0224,Insumos Bolivia
0225,Serv. Nal. Para la Sostenibilidad en Sanemiento Basico
0226,Servicio Estatal de Autonomias
0227,Zona Franca Comercial e Industrial de Cobija
0242,Comando de Ingenieria del Ejercito
0243,Servicio Nacional de Hidrografia Naval
0244,Servico Nacional de Aerofotogrametria
0245,Servico Geodesico de Mapas
0248,Centro de Investigacion y Desarrollo Acuicola Boliviano
0249,Central de Abastecimiento y Suministros de Salud
0250,"Fondo de Des. Para los Pueblos Indigenas, Orig. y Com, Camp."
0251,Instituto Nacional de Salud Ocupacional
0253,Entidad Ejecutora de Medio Ambiente y Agua
0254,Instituto del Seguro Agrario
0265,Direc. Dptal. De Educacion Chuquisaca
0266,Direc. Dptal. De Educacion La Paz
0267,Direc. Dptal. De Educacion Cochabamba
0268,Direc. Dptal. De Educacion Oruro
0269,Direc. Dptal. De Educacion Potosi
0270,Direc. Dptal. De Educacion Tarija
0271,Direc. Dptal. De Educacion Santa Cruz
0272,Direc. Dptal. De Educacion Beni
0273,Direc. Dptal. De Educacion Pando
0281,Oficina Tecnica Nacional de los Rios Pilcomayo y Bermejo
0283,Aduana Nacional
0287,Fondo Nacional de Inversion Productiva y Social
0290,Servicio de Impuestos Nacionales
0288,Servico Nacional de Riego
0291,Administradora Boliviana de Carreteras
0292,Vias Bolivia
0293,Fundacion Cultural del Banco Central de Bolivia
0298,Servicio Departamental de Riego - Chuquisaca
0299,Servicio Departamental de Riego - La Paz
0300,Servicio Departamental de Riego - Cochabamba
0301,Servicio Departamental de Riego - Oruro
0303,Servicio Departamental de Riego - Tarija
0302,Servicio Departamental de Riego -  Potosi
0309,Autoridad de Fiscalizacion y Control Social del Juego
0310,Autoridad de Regulacion y Fiscalizacion de Telecomunicacione
0311,Autoridad de Fisc y Ctrol Soc de Agua Potable Saneam. Basico
0312,Autoridad de Fiscalizac. Y Control Soc de Bosques y Tierras
0313,Autoridad de Fiscalizacion y Control de Pensiones y Seguros
0314,Autoridad de Fiscalizacion y Control Social de Electricidad
0315,Autoridad de Fiscalizacion y Control Social de Empresas
0324,Escuela Boliviana Intercultural de Musica
0340,Servico General de Identificacion Personal
0342,Agencia Estatal de Vivienda
0343,Escuela de Jueces del Estado
0344,Instituto Plurinacional de Estudio de Lenguas y Culturas
0345,Mutal de Servicios al Policia
0512,Adm. De Aeropueros y Servicios Auxiliares a la Naveg. Aerea
