code,name_en
02,COUR ROYALE
03,CHAMBRE DES REPRESENTANTS
04,CHEF DU GOUVERNEMENT
05,JURIDICTIONS FINANCIERES
06,MINISTERE DE LA JUSTICE
07,"MINISTÈRE DES AFFAIRES ÉTRANGÈRES, DE LA COOPÉRATION AFRICAINE ET DES MAROCAINS RÉSIDANT A L'ETRANGER"
08,MINISTERE DE L'INTERIEUR
11,"MINISTERE DE L'EDUCATION NATIONALE, DE LA FORMATION PROFESSIONNELLE, DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCIENTIFIQUE"
12,MINISTERE DE LA SANTE ET DE LA PROTECTION SOCIALE
13,MINISTÈRE DE L'ECONOMIE ET DES FINANCES
14,"MINISTÈRE DU TOURISME, DE L'ARTISANAT ET DE L'ECONOMIE SOCIALE ET SOLIDAIRE"
16,SECRETARIAT GENERAL DU GOUVERNEMENT
17,MINISTERE DE L'EQUIPEMENT ET DE L'EAU
18,MINISTERE DU TRANSPORT ET DE LA LOGISTIQUE
20,"MINISTERE DE L'AGRICULTURE, DE LA PECHE MARITIME, DU DEVELOPPEMENT RURAL ET DES EAUX ET FORETS"
23,MINISTERE DES HABOUS ET DES AFFAIRES ISLAMIQUES
24,"MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE L'INVESTISSEMENT, DE LA CONVERGENCE ET DE L'EVALUATION DES POLITIQUES PUBLIQUES"
27,MINISTERE DE LA TRANSITION ENERGETIQUE ET DU DEVELOPPEMENT DURABLE
28,MINISTÈRE DE L'INDUSTRIE ET DU COMMERCE
29,"MINISTÈRE DE LA CULTURE, DE LA JEUNESSE  ET DE LA COMMUNICATION"
31,"MINISTERE DE L'INCLUSION ECONOMIQUE, DE LA PETITE ENTREPRISE, DE L'EMPLOI ET DES COMPETENCES"
32,MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DES RELATIONS AVEC LE PARLEMENT
33,MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE LA TRANSITION NUMERIQUE ET DE LA REFORME DE L'ADMINISRATION
34,ADMINISTRATION DE LA DEFENSE NATIONALE
35,HAUT COMMISSARIAT AUX ANCIENS RESISTANTS ET ANCIENS MEMBRES DE L'ARMEE DE LIBERATION
40,MINISTÈRE D’ÉTAT CHARGE DES DROITS DE L'HOMME ET DES RELATIONS AVEC LE PARLEMENT
42,HAUT COMMISSARIAT AU PLAN
43,CHAMBRE DES CONSEILLERS
46,"MINISTERE DE L'AMENAGEMENT DU TERRITOIRE NATIONAL, DE L'URBANISME, DE L'HABITAT ET DE LA POLITIQUE DE LA VILLE"
48,"MINISTERE DE LA SOLIDARITÉ, DE L'INSERTION SOCIALE ET DE LA FAMILLE"
51,DELEGATION GENERALE A L'ADMINISTRATION PENITENTIAIRE ET A LA REINSERTION
52,"CONSEIL ECONOMIQUE, SOCIAL ET ENVIRONNEMENTAL"
53,CONSEIL SUPERIEUR DU POUVOIR JUDICIAIRE
54,CONSEIL NATIONAL DES DROITS DE L’HOMME
55,"INSTANCE NATIONALE DE LA PROBITÉ, DE LA PRÉVENTION ET DE LA LUTTE CONTRE LA CORRUPTION"
